,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
128,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1,chevrolet nova
129,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3,datsun b210
130,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1,ford pinto
131,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3,toyota corolla 1200
132,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1,chevrolet vega
133,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1,chevrolet chevelle malibu classic
134,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1,amc matador
135,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1,plymouth satellite sebring
136,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1,ford gran torino
137,13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1,buick century luxus (sw)
138,14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1,dodge coronet custom (sw)
139,14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1,ford gran torino (sw)
140,14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1,amc matador (sw)
141,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2,audi fox
142,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2,volkswagen dasher
143,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2,opel manta
144,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3,toyota corona
145,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3,datsun 710
146,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1,dodge colt
147,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2,fiat 128
148,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2,fiat 124 tc
149,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3,honda civic
150,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3,subaru
151,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2,fiat x1.9
152,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1,plymouth valiant custom
153,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1,chevrolet nova
154,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1,mercury monarch
155,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1,ford maverick
156,16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1,pontiac catalina
157,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1,chevrolet bel air
158,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1,plymouth grand fury
159,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1,ford ltd
160,17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1,buick century
161,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1,chevroelt chevelle malibu
162,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1,amc matador
163,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1,plymouth fury
164,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1,buick skyhawk
165,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1,chevrolet monza 2+2
166,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1,ford mustang ii
167,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3,toyota corolla
168,23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1,ford pinto
169,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1,amc gremlin
170,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1,pontiac astro
171,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3,toyota corona
172,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2,volkswagen dasher
173,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3,datsun 710
174,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1,ford pinto
175,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2,volkswagen rabbit
176,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1,amc pacer
177,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2,audi 100ls
178,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2,peugeot 504
179,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2,volvo 244dl
180,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2,saab 99le
181,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3,honda civic cvcc
182,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2,fiat 131
183,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2,opel 1900
184,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1,capri ii
185,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1,dodge colt
186,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2,renault 12tl
187,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1,chevrolet chevelle malibu classic
188,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1,dodge coronet brougham
189,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1,amc matador
190,14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1,ford gran torino
191,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1,plymouth valiant
192,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1,chevrolet nova
193,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1,ford maverick
194,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1,amc hornet
195,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1,chevrolet chevette
196,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1,chevrolet woody
197,29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2,vw rabbit
198,33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3,honda civic
199,20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1,dodge aspen se
200,18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1,ford granada ghia
201,18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1,pontiac ventura sj
202,17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1,amc pacer d/l
203,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2,volkswagen rabbit
204,32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3,datsun b-210
205,28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3,toyota corolla
206,26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1,ford pinto
207,20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2,volvo 245
208,13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1,plymouth volare premier v8
209,19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2,peugeot 504
210,19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3,toyota mark ii
211,16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2,mercedes-benz 280s
212,16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1,cadillac seville
213,13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1,chevy c10
214,13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1,ford f108
215,13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1,dodge d100
216,31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3,honda accord cvcc
217,30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1,buick opel isuzu deluxe
218,36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2,renault 5 gtl
219,25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1,plymouth arrow gs
220,33.5,4.0,85.0,70.0,1945.0,16.8,77.0,3,datsun f-10 hatchback
221,17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1,chevrolet caprice classic
222,17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1,oldsmobile cutlass supreme
223,15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1,dodge monaco brougham
224,15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1,mercury cougar brougham
225,17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1,chevrolet concours
226,20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1,buick skylark
227,19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1,plymouth volare custom
228,18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1,ford granada
229,16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1,pontiac grand prix lj
230,15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1,chevrolet monte carlo landau
231,15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1,chrysler cordoba
232,16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1,ford thunderbird
233,29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2,volkswagen rabbit custom
234,24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1,pontiac sunbird coupe
235,26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3,toyota corolla liftback
236,25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1,ford mustang ii 2+2
237,30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1,chevrolet chevette
238,33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1,dodge colt m/m
239,30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3,subaru dl
240,30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2,volkswagen dasher
241,22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3,datsun 810
242,21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2,bmw 320i
243,21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3,mazda rx-4
244,43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2,volkswagen rabbit custom diesel
245,36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1,ford fiesta
246,32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3,mazda glc deluxe
247,39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3,datsun b210 gx
248,36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3,honda civic cvcc
249,19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1,oldsmobile cutlass salon brougham
250,19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1,dodge diplomat
251,20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1,mercury monarch ghia
252,19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1,pontiac phoenix lj
253,20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1,chevrolet malibu
254,20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1,ford fairmont (auto)
255,25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1,ford fairmont (man)
256,20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1,plymouth volare
257,19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1,amc concord
258,20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1,buick century special
259,20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1,mercury zephyr
260,18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1,dodge aspen
261,18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1,amc concord d/l
262,19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1,chevrolet monte carlo landau
263,17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1,buick regal sport coupe (turbo)
264,18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1,ford futura
265,17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1,dodge magnum xe
266,30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1,chevrolet chevette
267,27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3,toyota corona
268,27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3,datsun 510
269,30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1,dodge omni
270,21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3,toyota celica gt liftback
271,23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1,plymouth sapporo
272,23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1,oldsmobile starfire sx
273,23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3,datsun 200-sx
274,20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2,audi 5000
275,17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2,volvo 264gl
276,21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2,saab 99gle
277,16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2,peugeot 604sl
278,31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2,volkswagen scirocco
279,29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3,honda accord lx
280,21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1,pontiac lemans v6
281,19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1,mercury zephyr 6
282,22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1,ford fairmont 4
283,20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1,amc concord dl 6
284,20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1,dodge aspen 6
285,17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1,chevrolet caprice classic
286,17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1,ford ltd landau
287,16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1,mercury grand marquis
288,18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1,dodge st. regis
289,16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1,buick estate wagon (sw)
290,15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1,ford country squire (sw)
291,19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1,chevrolet malibu classic (sw)
292,18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1,chrysler lebaron town @ country (sw)
293,31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2,vw rabbit custom
294,34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3,maxda glc deluxe
295,35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1,dodge colt hatchback custom
296,27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1,amc spirit dl
297,25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2,mercedes benz 300d
298,23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1,cadillac eldorado
299,27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2,peugeot 504
300,23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1,oldsmobile cutlass salon brougham
301,34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1,plymouth horizon
302,34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1,plymouth horizon tc3
303,31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3,datsun 210
304,37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2,fiat strada custom
305,28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1,buick skylark limited
306,28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1,chevrolet citation
307,26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1,oldsmobile omega brougham
308,33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1,pontiac phoenix
309,41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2,vw rabbit
310,38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3,toyota corolla tercel
311,32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1,chevrolet chevette
312,37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3,datsun 310
313,28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1,chevrolet citation
314,26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1,ford fairmont
315,24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1,amc concord
316,19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1,dodge aspen
317,34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2,audi 4000
318,29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3,toyota corona liftback
319,31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3,mazda 626
320,37.0,4.0,119.0,92.0,2434.0,15.0,80.0,3,datsun 510 hatchback
321,32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3,toyota corolla
322,46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3,mazda glc
323,27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1,dodge colt
324,40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3,datsun 210
325,44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2,vw rabbit c (diesel)
326,43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2,vw dasher (diesel)
327,36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2,audi 5000s (diesel)
328,30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2,mercedes-benz 240d
329,44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3,honda civic 1500 gl
330,40.9,4.0,85.0,153.0,1835.0,17.3,80.0,2,renault lecar deluxe
331,33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3,subaru dl
332,29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2,vokswagen rabbit
333,32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3,datsun 280-zx
