fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,quality,alcohol
7,0.25,0.32,9,46,56,245,9.955,3.25,0.5,6,"R$ 45.392,00"
6.9,0.24,0.35,1,52,35,146,993,3.45,0.44,6,"R$ 10,00"
7,0.28,0.39,8.7,51,32,141,9.961,3.38,0.53,6,"R$ 45.422,00"
7.4,0.27,0.48,1.1,47,17,132,9.914,3.19,0.49,6,"R$ 45.454,00"
7.2,0.32,0.36,2,33,37,114,9.906,3.1,0.71,7,"R$ 45.363,00"
8.5,0.24,0.39,10.4,44,20,142,9.974,3.2,0.53,6,"R$ 10,00"
8.3,0.14,0.34,1.1,42,7,47,9.934,3.47,0.4,6,"R$ 45.332,00"
7.4,0.25,0.36,02.05,0.05,31,100,992,3.19,0.44,6,"R$ 45.514,00"
6.2,0.12,0.34,1.5,45,43,117,9.939,3.42,0.51,6,"R$ 9,00"
5.8,0.27,0.2,14.95,44,22,179,9.962,3.37,0.37,5,"R$ 45.332,00"
7.3,0.28,0.43,1.7,0.08,21,123,9.905,3.19,0.42,5,"R$ 45.516,00"
6.5,0.39,0.23,5.4,51,25,149,9.934,3.24,0.35,5,"R$ 10,00"
7,0.33,0.32,1.2,53,38,138,9.906,3.13,0.28,6,"R$ 45.333,00"
7.3,0.24,0.39,17.95,57,45,149,9.999,3.21,0.36,5,"R$ 45.451,00"
7.3,0.24,0.39,17.95,57,45,149,9.999,3.21,0.36,5,"R$ 45.451,00"
6.7,0.23,0.39,2.5,172,63,158,9.937,3.11,0.36,6,"R$ 45.391,00"
6.7,0.24,0.39,2.9,173,63,157,9.937,3.1,0.34,6,"R$ 45.391,00"
7,0.31,0.26,7.4,69,28,160,9.954,3.13,0.46,6,"R$ 45.513,00"
6.6,0.24,0.27,1.4,57,33,152,9.934,3.22,0.56,6,"R$ 45.421,00"
6.7,0.23,0.26,1.4,0.06,33,154,9.934,3.24,0.56,6,"R$ 45.421,00"
7.4,0.18,0.31,1.4,58,38,167,9.931,3.16,0.53,7,"R$ 10,00"
6.2,0.45,0.26,4.4,63,63,206,994,3.27,0.52,4,"R$ 45.513,00"
6.2,0.46,0.25,4.4,66,62,207,9.939,3.25,0.52,5,"R$ 45.513,00"
7,0.31,0.26,7.4,69,28,160,9.954,3.13,0.46,6,"R$ 45.513,00"
6.9,0.19,0.35,5,67,32,150,995,3.36,0.48,5,"R$ 45.513,00"
7.2,0.19,0.31,1.6,62,31,173,9.917,3.35,0.44,6,"R$ 45.484,00"
6.6,0.25,0.29,1.1,68,39,124,9.914,3.34,0.58,7,"R$ 11,00"
6.2,0.16,0.33,1.1,57,21,82,991,3.32,0.46,7,"R$ 45.545,00"
6.4,0.18,0.35,1,45,39,108,9.911,3.31,0.35,6,"R$ 45.545,00"
6.8,0.2,0.59,0.9,147,38,132,993,03.05,0.38,6,"R$ 45.300,00"
6.9,0.25,0.35,1.3,39,29,191,9.908,3.13,0.52,6,"R$ 11,00"
7.2,0.21,0.34,11.9,43,37,213,9.962,03.09,0.5,6,"R$ 45.452,00"
6,0.19,0.26,12.4,48,50,147,9.972,3.3,0.36,6,"R$ 45.543,00"
6.6,0.38,0.15,4.6,44,25,78,9.931,3.11,0.38,6,"R$ 45.332,00"
7.4,0.2,0.36,1.2,38,44,111,9.926,3.36,0.34,6,"R$ 45.544,00"
6.8,0.22,0.24,4.9,92,30,123,9.951,03.03,0.46,6,"R$ 45.451,00"
6,0.19,0.26,12.4,48,50,147,9.972,3.3,0.36,6,"R$ 45.543,00"
7,0.47,0.07,1.1,35,17,151,991,03.02,0.34,5,"R$ 45.422,00"
6.6,0.38,0.15,4.6,44,25,78,9.931,3.11,0.38,6,"R$ 45.332,00"
7.2,0.24,0.27,1.4,38,31,122,9.927,3.15,0.46,6,"R$ 45.361,00"
6.2,0.35,0.03,1.2,64,29,120,9.934,3.22,0.54,5,"R$ 45.300,00"
6.4,0.26,0.24,6.4,0.04,27,124,9.903,3.22,0.49,7,"R$ 45.455,00"
6.7,0.25,0.13,1.2,41,81,174,992,3.14,0.42,5,"R$ 45.513,00"
6.7,0.23,0.31,2.1,46,30,96,9.926,3.33,0.64,8,"R$ 45.483,00"
7.4,0.24,0.29,10.1,0.05,21,105,9.962,3.13,0.35,5,"R$ 45.421,00"
6.2,0.27,0.43,7.8,56,48,244,9.956,3.1,0.51,6,"R$ 9,00"
6.8,0.3,0.23,4.6,61,50.5,238.5,9.958,3.32,0.6,5,"R$ 45.421,00"
6,0.27,0.28,4.8,63,31,201,9.964,3.69,0.71,5,"R$ 10,00"
8.6,0.23,0.46,1,54,9,72,9.941,2.95,0.49,6,"R$ 45.300,00"
6.7,0.23,0.31,2.1,46,30,96,9.926,3.33,0.64,8,"R$ 45.483,00"
7.4,0.24,0.29,10.1,0.05,21,105,9.962,3.13,0.35,5,"R$ 45.421,00"
7.1,0.18,0.36,1.4,43,31,87,9.898,3.26,0.37,7,"R$ 45.485,00"
7,0.32,0.34,1.3,42,20,69,9.912,3.31,0.65,7,"R$ 12,00"
7.4,0.18,0.3,8.8,64,26,103,9.961,2.94,0.56,5,"R$ 45.360,00"
6.7,0.54,0.28,5.4,0.06,21,105,9.949,3.27,0.37,5,"R$ 9,00"
6.8,0.22,0.31,1.4,53,34,114,9.929,3.39,0.77,6,"R$ 45.453,00"
7.1,0.2,0.34,16,0.05,51,166,9.985,3.21,0.6,6,"R$ 45.331,00"
7.1,0.34,0.2,6.1,63,47,164,9.946,3.17,0.42,5,"R$ 10,00"
7.3,0.22,0.3,8.2,47,42,207,9.966,3.33,0.46,6,"R$ 45.421,00"
7.1,0.43,0.61,11.8,45,54,155,9.974,3.11,0.45,5,"R$ 45.481,00"
7.1,0.44,0.62,11.8,44,52,152,9.975,3.12,0.46,6,"R$ 45.481,00"
7.2,0.39,0.63,11,44,55,156,9.974,03.09,0.44,6,"R$ 45.481,00"
6.8,0.25,0.31,13.3,0.05,69,202,9.972,3.22,0.48,6,"R$ 45.482,00"
7.1,0.43,0.61,11.8,45,54,155,9.974,3.11,0.45,5,"R$ 45.481,00"
7.1,0.44,0.62,11.8,44,52,152,9.975,3.12,0.46,6,"R$ 45.481,00"
7.2,0.39,0.63,11,44,55,156,9.974,03.09,0.44,6,"R$ 45.481,00"
6.1,0.27,0.43,7.5,49,65,243,9.957,3.12,0.47,5,"R$ 9,00"
6.9,0.24,0.33,1.7,35,47,136,0.99,3.26,0.4,7,"R$ 45.455,00"
6.9,0.21,0.33,1.8,34,48,136,9.899,3.25,0.41,7,"R$ 45.455,00"
7.5,0.17,0.32,1.7,0.04,51,148,9.916,3.21,0.44,7,"R$ 45.423,00"
7.1,0.26,0.29,12.4,44,62,240,9.969,03.04,0.42,6,"R$ 45.331,00"
6,0.34,0.66,15.9,46,26,164,9.979,3.14,0.5,6,"R$ 45.512,00"
8.6,265,0.36,1.2,34,15,80,9.913,2.95,0.36,7,"R$ 45.393,00"
9.8,0.36,0.46,10.5,38,4,83,9.956,2.89,0.3,4,"R$ 45.301,00"
6,0.34,0.66,15.9,46,26,164,9.979,3.14,0.5,6,"R$ 45.512,00"
7.4,0.25,0.37,13.5,0.06,52,192,9.975,3,0.44,5,"R$ 45.300,00"
7.1,0.12,0.32,9.6,54,64,162,9.962,3.4,0.41,5,"R$ 45.391,00"
6,0.21,0.24,12.1,0.05,55,164,997,3.34,0.39,5,"R$ 45.391,00"
7.5,305,0.4,18.9,59,44,170,1,2.99,0.46,5,"R$ 9,00"
7.4,0.25,0.37,13.5,0.06,52,192,9.975,3,0.44,5,"R$ 45.300,00"
7.3,0.13,0.32,14.4,51,34,109,9.974,3.2,0.35,6,"R$ 45.331,00"
7.1,0.12,0.32,9.6,54,64,162,9.962,3.4,0.41,5,"R$ 45.391,00"
7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,6,"R$ 45.300,00"
7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,6,"R$ 45.300,00"
6.9,0.33,0.28,1.3,51,37,187,9.927,3.27,0.6,5,"R$ 45.361,00"
6.5,0.17,0.54,8.5,82,64,163,9.959,2.89,0.39,6,"R$ 45.512,00"
7.2,0.27,0.46,18.75,52,45,255,1,03.04,0.52,5,"R$ 45.543,00"
7.2,0.31,0.5,13.3,56,68,195,9.982,03.01,0.47,5,"R$ 45.331,00"
6.7,0.41,0.34,9.2,49,29,150,9.968,3.22,0.51,5,"R$ 45.300,00"
6.7,0.41,0.34,9.2,49,29,150,9.968,3.22,0.51,5,"R$ 45.300,00"
5.5,485,0,1.5,65,8,103,994,3.63,0.4,4,"R$ 45.482,00"
6,0.31,0.24,3.3,41,25,143,9.914,3.31,0.44,6,"R$ 45.362,00"
7,0.14,0.4,1.7,35,16,85,9.911,3.19,0.42,6,"R$ 45.515,00"
7.2,0.31,0.5,13.3,56,68,195,9.982,03.01,0.47,5,"R$ 45.331,00"
7.3,0.32,0.48,13.3,0.06,57,196,9.982,03.04,0.5,5,"R$ 45.331,00"
5.9,0.36,0.04,5.7,46,21,87,9.934,3.22,0.51,5,"R$ 45.332,00"
7.8,0.24,0.32,12.2,54,42,138,9.984,03.01,0.54,5,"R$ 45.512,00"
7.4,0.16,0.31,6.85,59,31,131,9.952,3.29,0.34,5,"R$ 45.482,00"
6.9,0.19,0.28,5,58,14,146,9.952,3.29,0.36,6,"R$ 45.300,00"
6.4,0.13,0.47,1.6,92,40,158,9.928,3.21,0.36,6,"R$ 45.513,00"
6.7,0.19,0.36,1.1,26,63,143,9.912,3.27,0.48,6,"R$ 11,00"
7.4,0.39,0.23,7,33,29,126,994,3.14,0.42,5,"R$ 45.422,00"
6.5,0.24,0.32,7.6,38,48,203,9.958,3.45,0.54,7,"R$ 45.482,00"
6.1,0.3,0.56,2.8,44,47,179,9.924,3.3,0.57,7,"R$ 45.545,00"
6.1,0.3,0.56,2.7,46,46,184,9.924,3.31,0.57,6,"R$ 45.545,00"
5.7,0.26,0.25,10.4,0.02,7,57,994,3.39,0.37,5,"R$ 45.453,00"
6.5,0.24,0.32,7.6,38,48,203,9.958,3.45,0.54,7,"R$ 45.482,00"
6.5,425,0.4,13.1,38,59,241,9.979,3.23,0.57,5,"R$ 9,00"
6.6,0.24,0.27,15.8,35,46,188,9.982,3.24,0.51,5,"R$ 45.331,00"
6.8,0.27,0.22,8.1,34,55,203,9.961,3.19,0.52,5,"R$ 45.543,00"
6.7,0.27,0.31,15.7,36,44,179,9.979,3.26,0.56,5,"R$ 45.452,00"
8.2,0.23,0.4,1.2,27,36,121,992,3.12,0.38,6,"R$ 45.483,00"
7.1,0.37,0.67,10.5,45,49,155,9.975,3.16,0.44,5,"R$ 45.481,00"
6.8,0.19,0.36,1.9,35,30,96,9.917,3.15,0.54,7,"R$ 45.514,00"
8.1,0.28,0.39,1.9,29,18,79,9.923,3.23,0.52,6,"R$ 45.515,00"
6.3,0.31,0.34,2.2,45,20,77,9.927,3.3,0.43,5,"R$ 45.332,00"
7.1,0.37,0.67,10.5,45,49,155,9.975,3.16,0.44,5,"R$ 45.481,00"
7.9,0.21,0.4,1.2,39,38,107,992,3.21,0.54,6,"R$ 45.514,00"
8.5,0.21,0.41,4.3,36,24,99,9.947,3.18,0.53,6,"R$ 45.482,00"
8.1,0.2,0.4,2,37,19,87,9.921,3.12,0.54,6,"R$ 45.333,00"
6.3,255,0.37,1.1,0.04,37,114,9.905,3,0.39,6,"R$ 45.545,00"
5.6,0.16,0.27,1.4,44,53,168,9.918,3.28,0.37,6,"R$ 45.301,00"
6.4,595,0.14,5.2,58,15,97,9.951,3.38,0.36,4,"R$ 9,00"
6.3,0.34,0.33,4.6,34,19,80,9.917,3.38,0.58,7,"R$ 12,00"
6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,6,"R$ 45.391,00"
7.9,0.22,0.38,8,43,46,152,9.934,3.12,0.32,7,"R$ 45.423,00"
7.6,0.18,0.46,10.2,55,58,135,9.968,3.14,0.43,6,"R$ 45.544,00"
6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,6,"R$ 45.391,00"
7.2,0.18,0.41,1.2,48,41,97,9.919,3.14,0.45,5,"R$ 45.392,00"
8.2,0.23,0.4,7.5,49,12,76,9.966,03.06,0.84,6,"R$ 45.482,00"
7.4,0.24,0.42,14,66,48,198,9.979,2.89,0.42,6,"R$ 45.543,00"
7.4,0.24,0.42,14,66,48,198,9.979,2.89,0.42,6,"R$ 45.543,00"
6.1,0.32,0.24,1.5,36,38,124,9.898,3.29,0.42,7,"R$ 45.394,00"
5.2,0.44,0.04,1.4,36,43,119,9.894,3.36,0.33,8,"R$ 45.303,00"
5.2,0.44,0.04,1.4,36,43,119,9.894,3.36,0.33,8,"R$ 45.303,00"
6.1,0.32,0.24,1.5,36,38,124,9.898,3.29,0.42,7,"R$ 45.394,00"
6.4,0.22,0.56,14.5,55,27,159,998,2.98,0.4,5,"R$ 45.300,00"
6.3,0.36,0.3,4.8,49,14,85,9.932,3.28,0.39,5,"R$ 45.453,00"
7.4,0.24,0.42,14,66,48,198,9.979,2.89,0.42,6,"R$ 45.543,00"
6.7,0.24,0.35,13.1,0.05,64,205,997,3.15,0.5,5,"R$ 45.421,00"
7,0.23,0.36,13,51,72,177,9.972,3.16,0.49,5,"R$ 45.513,00"
8.4,0.27,0.46,8.7,48,39,197,9.974,3.14,0.59,6,"R$ 45.452,00"
6.7,0.46,0.18,2.4,34,25,98,9.896,03.08,0.44,7,"R$ 45.455,00"
7.5,0.29,0.31,8.95,55,20,151,9.968,03.08,0.54,5,"R$ 45.360,00"
9.8,0.42,0.48,9.85,34,5,110,9.958,2.87,0.29,5,"R$ 10,00"
7.1,0.3,0.46,1.5,66,29,133,9.906,3.12,0.54,6,"R$ 45.485,00"
7.9,0.19,0.45,1.5,45,17,96,9.917,3.13,0.39,6,"R$ 11,00"
7.6,0.48,0.37,0.8,37,4,100,9.902,03.03,0.39,4,"R$ 45.393,00"
6.3,0.22,0.43,4.55,38,31,130,9.918,3.35,0.33,7,"R$ 45.423,00"
7.5,0.27,0.31,17.7,51,33,173,999,03.09,0.64,5,"R$ 45.332,00"
6.9,0.23,0.4,7.5,0.04,50,151,9.927,3.11,0.27,6,"R$ 45.393,00"
7.2,0.32,0.47,5.1,44,19,65,991,03.03,0.41,4,"R$ 45.455,00"
5.9,0.23,0.3,12.9,54,57,170,9.972,3.28,0.39,5,"R$ 45.391,00"
6,0.67,0.07,1.2,0.06,9,108,9.931,3.11,0.35,4,"R$ 45.481,00"
6.4,0.25,0.32,5.5,49,41,176,995,3.19,0.68,6,"R$ 45.331,00"
6.4,0.33,0.31,5.5,48,42,173,9.951,3.19,0.66,6,"R$ 45.360,00"
7.1,0.34,0.15,1.2,53,61,183,9.936,03.09,0.43,5,"R$ 45.331,00"
6.8,0.28,0.4,22,48,48,167,1.001,2.93,0.5,5,"R$ 45.481,00"
6.9,0.27,0.4,14,0.05,64,227,9.979,3.18,0.58,6,"R$ 45.452,00"
6.8,0.26,0.56,11.9,43,64,226,997,03.02,0.63,5,"R$ 45.360,00"
6.8,0.29,0.56,11.9,43,66,230,9.972,03.02,0.63,5,"R$ 45.360,00"
6.7,0.24,0.41,9.4,0.04,49,166,9.954,3.12,0.61,6,"R$ 45.544,00"
5.9,0.3,0.23,4.2,38,42,119,9.924,3.15,0.5,5,"R$ 11,00"
6.8,0.53,0.35,3.8,34,26,109,9.906,3.26,0.57,8,"R$ 45.485,00"
6.5,0.28,0.28,8.5,47,54,210,9.962,03.09,0.54,4,"R$ 45.543,00"
6.6,0.28,0.28,8.5,52,55,211,9.962,03.09,0.55,6,"R$ 45.543,00"
6.8,0.28,0.4,22,48,48,167,1.001,2.93,0.5,5,"R$ 45.481,00"
6.8,0.28,0.36,8,45,28,123,9.928,03.02,0.37,6,"R$ 45.393,00"
6.6,0.15,0.34,5.1,55,34,125,9.942,3.36,0.42,5,"R$ 45.452,00"
6.4,0.29,0.44,3.6,0.2,75,181,9.942,03.02,0.41,5,"R$ 45.300,00"
6.4,0.3,0.45,3.5,197,76,180,9.942,03.02,0.39,6,"R$ 45.300,00"
6.4,0.29,0.44,3.6,197,75,183,9.942,03.01,0.38,5,"R$ 45.300,00"
6.8,0.26,0.24,7.8,52,54,214,9.961,3.13,0.47,5,"R$ 45.543,00"
7.1,0.32,0.24,13.1,0.05,52,204,998,3.1,0.49,5,"R$ 45.512,00"
6.8,0.26,0.24,7.8,52,54,214,9.961,3.13,0.47,5,"R$ 45.543,00"
6.8,0.27,0.26,16.1,49,55,196,9.984,3.15,0.5,5,"R$ 45.360,00"
7.1,0.32,0.24,13.1,0.05,52,204,998,3.1,0.49,5,"R$ 45.512,00"
6.9,0.54,0.32,13.2,0.05,53,236,9.973,3.2,0.5,5,"R$ 45.452,00"
6.8,0.26,0.34,13.9,34,39,134,9.949,3.33,0.53,6,"R$ 12,00"
5.8,0.28,0.35,2.3,53,36,114,9.924,3.28,0.5,4,"R$ 45.332,00"
6.4,0.21,0.5,11.6,42,45,153,9.972,3.15,0.43,5,"R$ 45.512,00"
7,0.16,0.32,8.3,45,38,126,9.958,3.21,0.34,5,"R$ 45.331,00"
10.2,0.44,0.88,6.2,49,20,124,9.968,2.99,0.51,4,"R$ 45.544,00"
6.8,0.57,0.29,2.2,0.04,15,77,9.938,3.32,0.74,5,"R$ 45.332,00"
6.1,0.4,0.31,0.9,48,23,170,993,3.22,0.77,6,"R$ 45.421,00"
5.6,245,0.25,9.7,32,12,68,994,3.31,0.34,5,"R$ 45.422,00"
6.8,0.18,0.38,1.4,38,35,111,9.918,3.32,0.59,7,"R$ 45.333,00"
7,0.16,0.32,8.3,45,38,126,9.958,3.21,0.34,5,"R$ 45.331,00"
6.7,0.13,0.29,5.3,51,31,122,9.944,3.44,0.37,6,"R$ 45.482,00"
6.2,0.25,0.25,1.4,0.03,35,105,9.912,3.3,0.44,7,"R$ 45.302,00"
5.8,0.26,0.24,9.2,44,55,152,9.961,3.31,0.38,5,"R$ 45.391,00"
7.5,0.27,0.36,7,36,45,164,9.939,03.03,0.33,5,"R$ 11,00"
5.8,0.26,0.24,9.2,44,55,152,9.961,3.31,0.38,5,"R$ 45.391,00"
5.7,0.28,0.24,17.5,44,60,167,9.989,3.31,0.44,5,"R$ 45.391,00"
7.5,0.23,0.36,7,36,43,161,9.938,03.04,0.32,5,"R$ 11,00"
7.5,0.27,0.36,7,36,45,164,9.939,03.03,0.33,5,"R$ 11,00"
7.2,685,0.21,9.5,0.07,33,172,9.971,3,0.55,6,"R$ 45.300,00"
6.2,0.25,0.25,1.4,0.03,35,105,9.912,3.3,0.44,7,"R$ 45.302,00"
6.5,0.19,0.3,0.8,43,33,144,9.936,3.42,0.39,6,"R$ 45.300,00"
6.3,495,0.22,1.8,46,31,140,9.929,3.39,0.54,6,"R$ 45.392,00"
7.1,0.24,0.41,17.8,46,39,145,9.998,3.32,0.39,5,"R$ 45.481,00"
6.4,0.17,0.32,2.4,48,41,200,9.938,3.5,0.5,6,"R$ 45.482,00"
7.1,0.25,0.32,10.3,41,66,272,9.969,3.17,0.52,6,"R$ 45.300,00"
6.4,0.17,0.32,2.4,48,41,200,9.938,3.5,0.5,6,"R$ 45.482,00"
7.1,0.24,0.41,17.8,46,39,145,9.998,3.32,0.39,5,"R$ 45.481,00"
6.8,0.64,0.08,9.7,62,26,142,9.972,3.37,0.46,4,"R$ 45.543,00"
8.3,0.28,0.4,7.8,41,38,194,9.976,3.34,0.51,6,"R$ 45.452,00"
8.2,0.27,0.39,7.8,39,49,208,9.976,3.31,0.51,6,"R$ 45.421,00"
7.2,0.23,0.38,14.3,58,55,194,9.979,03.09,0.44,6,"R$ 9,00"
7.2,0.23,0.38,14.3,58,55,194,9.979,03.09,0.44,6,"R$ 9,00"
7.2,0.23,0.38,14.3,58,55,194,9.979,03.09,0.44,6,"R$ 9,00"
7.2,0.23,0.38,14.3,58,55,194,9.979,03.09,0.44,6,"R$ 9,00"
6.8,0.52,0.32,13.2,44,54,221,9.972,3.27,0.5,6,"R$ 45.452,00"
7,0.26,0.59,1.4,37,40,120,9.918,3.34,0.41,7,"R$ 45.302,00"
6.2,0.25,0.21,15.55,39,28,159,9.982,3.48,0.64,6,"R$ 45.452,00"
7.3,0.32,0.23,13.7,0.05,49,197,9.985,3.2,0.46,5,"R$ 45.481,00"
7.7,0.31,0.26,7.8,31,23,90,9.944,3.13,0.5,5,"R$ 45.392,00"
7.1,0.21,0.37,2.4,26,23,100,9.903,3.15,0.38,7,"R$ 45.393,00"
6.8,0.24,0.34,2.7,47,64.5,218.5,9.934,3.3,0.58,6,"R$ 45.482,00"
6.9,0.4,0.56,11.2,43,40,142,9.975,3.14,0.46,5,"R$ 45.481,00"
6.1,0.18,0.36,2,38,20,249.5,9.923,3.37,0.79,6,"R$ 45.362,00"
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,7,"R$ 45.455,00"
5.8,0.2,0.27,1.4,31,12,77,9.905,3.25,0.36,7,"R$ 45.545,00"
5.6,0.19,0.26,1.4,0.03,12,76,9.905,3.25,0.37,7,"R$ 45.545,00"
6.1,0.41,0.14,10.4,37,18,119,996,3.38,0.45,5,"R$ 10,00"
5.9,0.21,0.28,4.6,53,40,199,9.964,3.72,0.7,4,"R$ 10,00"
8.5,0.26,0.21,16.2,74,41,197,998,03.02,0.5,3,"R$ 45.513,00"
6.9,0.4,0.56,11.2,43,40,142,9.975,3.14,0.46,5,"R$ 45.481,00"
5.8,0.24,0.44,3.5,29,5,109,9.913,3.53,0.43,3,"R$ 45.484,00"
5.8,0.24,0.39,1.5,54,37,158,9.932,3.21,0.52,6,"R$ 45.360,00"
6.7,0.26,0.39,1.1,0.04,45,147,9.935,3.32,0.58,8,"R$ 45.452,00"
6.3,0.35,0.3,5.7,35,8,97,9.927,3.27,0.41,7,"R$ 11,00"
6.3,0.35,0.3,5.7,35,8,97,9.927,3.27,0.41,7,"R$ 11,00"
6.4,0.23,0.39,1.8,32,23,118,9.912,3.32,0.5,6,"R$ 45.515,00"
5.8,0.36,0.38,0.9,37,3,75,9.904,3.28,0.34,4,"R$ 45.393,00"
6.9,115,0.35,5.4,48,36,108,9.939,3.32,0.42,6,"R$ 45.332,00"
6.9,0.29,0.4,19.45,43,36,156,9.996,2.93,0.47,5,"R$ 45.543,00"
6.9,0.28,0.4,8.2,36,15,95,9.944,3.17,0.33,5,"R$ 45.332,00"
7.2,0.29,0.4,13.6,45,66,231,9.977,03.08,0.59,6,"R$ 45.452,00"
6.2,0.24,0.35,1.2,38,22,167,9.912,3.1,0.48,6,"R$ 45.453,00"
6.9,0.29,0.4,19.45,43,36,156,9.996,2.93,0.47,5,"R$ 45.543,00"
6.9,0.32,0.26,8.3,53,32,180,9.965,3.25,0.51,6,"R$ 45.331,00"
5.3,0.58,0.07,6.9,43,34,149,9.944,3.34,0.57,5,"R$ 45.482,00"
5.3,585,0.07,7.1,44,34,145,9.945,3.34,0.57,6,"R$ 45.482,00"
5.4,0.59,0.07,7,45,36,147,9.944,3.34,0.57,6,"R$ 45.482,00"
6.9,0.32,0.26,8.3,53,32,180,9.965,3.25,0.51,6,"R$ 45.331,00"
5.2,0.6,0.07,7,44,33,147,9.944,3.33,0.58,5,"R$ 45.482,00"
5.8,0.25,0.26,13.1,51,44,148,9.972,3.29,0.38,5,"R$ 45.360,00"
6.6,0.58,0.3,5.1,57,30,123,9.949,3.24,0.38,5,"R$ 9,00"
7,0.29,0.54,10.7,46,59,234,9.966,03.05,0.61,5,"R$ 45.421,00"
6.6,0.19,0.41,8.9,46,51,169,9.954,3.14,0.57,6,"R$ 45.513,00"
6.7,0.2,0.41,9.1,44,50,166,9.954,3.14,0.58,6,"R$ 45.513,00"
7.7,0.26,0.4,1.1,42,9,60,9.915,2.89,0.5,5,"R$ 45.453,00"
6.8,0.32,0.34,1.2,44,14,67,9.919,03.05,0.47,4,"R$ 45.453,00"
7,0.3,0.49,4.7,36,17,105,9.916,3.26,0.68,7,"R$ 45.394,00"
7,0.24,0.36,2.8,34,22,112,0.99,3.19,0.38,8,"R$ 45.455,00"
6.1,0.31,0.58,5,39,36,114,9.909,3.3,0.6,8,"R$ 45.363,00"
6.8,0.44,0.37,5.1,47,46,201,9.938,03.08,0.65,4,"R$ 45.422,00"
6.7,0.34,0.3,15.6,54,51,196,9.982,3.19,0.49,5,"R$ 45.360,00"
7.1,0.35,0.24,15.4,55,46,198,9.988,3.12,0.49,5,"R$ 45.512,00"
7.3,0.32,0.25,7.2,56,47,180,9.961,03.08,0.47,5,"R$ 45.512,00"
6.5,0.28,0.33,15.7,53,51,190,9.978,3.22,0.51,6,"R$ 45.482,00"
7.2,0.23,0.39,14.2,58,49,192,9.979,2.98,0.48,7,"R$ 9,00"
7.2,0.23,0.39,14.2,58,49,192,9.979,2.98,0.48,7,"R$ 9,00"
7.2,0.23,0.39,14.2,58,49,192,9.979,2.98,0.48,7,"R$ 9,00"
7.2,0.23,0.39,14.2,58,49,192,9.979,2.98,0.48,7,"R$ 9,00"
5.9,0.15,0.31,5.8,41,53,155,9.945,3.52,0.46,6,"R$ 45.422,00"
7.4,0.28,0.42,19.8,66,53,195,1,2.96,0.44,5,"R$ 45.300,00"
