cart_value,num_items,device,time_on_site,prev_purchase,country,payment_method,discount_applied,user_type,cart_abandon_yn
462.79,9,mobile,7.03,N,JP,bank_transfer,N,registered,0
66.63,4,desktop,8.1,Y,Others,bank_transfer,N,guest,0
69.37,1,tablet,10.29,N,JP,card,Y,registered,0
356.72,4,desktop,12.8,N,CN,card,N,registered,0
447.43,9,desktop,0.66,Y,US,paypal,N,registered,0
96.59,5,mobile,10.37,N,KR,card,N,registered,0
152.27,1,mobile,6.23,N,CN,card,N,registered,1
342.8,4,tablet,7.33,Y,CN,bank_transfer,N,registered,0
98.87,2,desktop,12.53,N,JP,paypal,Y,guest,1
356.66,4,desktop,7.3,N,KR,card,Y,registered,0
254.06,7,tablet,9.27,Y,JP,paypal,N,registered,0
346.73,3,tablet,10.45,N,US,card,N,guest,0
270.34,3,desktop,8.87,Y,CN,card,Y,registered,1
40.83,8,desktop,11.29,N,JP,bank_transfer,Y,guest,0
127.49,8,desktop,9.31,N,CN,bank_transfer,N,registered,0
296.1,1,tablet,7.56,N,CN,card,N,registered,0
77.81,7,tablet,12.05,N,US,card,N,guest,0
260.06,8,mobile,9.14,N,CN,paypal,N,registered,0
,8,mobile,7.45,N,KR,bank_transfer,N,guest,1
45.35,1,tablet,6.84,N,JP,bank_transfer,N,guest,1
105.57,5,desktop,4.83,Y,JP,bank_transfer,N,registered,0
232.34,3,tablet,11.1,Y,KR,card,N,guest,0
441.24,5,desktop,12.22,N,US,paypal,N,guest,0
475.65,5,desktop,12.51,N,JP,card,N,guest,0
249.52,9,mobile,7.57,Y,KR,card,N,registered,0
241.34,2,tablet,11.58,Y,US,bank_transfer,N,registered,0
325.9,3,tablet,4.32,N,KR,paypal,Y,guest,0
175.81,6,tablet,6.51,N,KR,bank_transfer,Y,guest,0
76.44,9,desktop,6.69,N,Others,bank_transfer,N,registered,0
44.53,7,tablet,4.13,Y,JP,bank_transfer,Y,registered,1
326.08,7,mobile,12.44,N,KR,paypal,N,guest,1
409.89,3,desktop,,N,CN,card,Y,guest,0
341.73,7,tablet,12.52,N,CN,card,N,registered,0
332.85,5,tablet,,Y,KR,card,N,registered,1
223.79,3,mobile,13.94,N,KR,card,Y,registered,1
335.17,3,tablet,,Y,JP,card,Y,registered,0
,2,tablet,9.53,N,Others,paypal,N,guest,0
,3,tablet,2.75,N,US,bank_transfer,N,registered,1
274.22,4,mobile,6.98,Y,KR,paypal,N,guest,0
,6,desktop,8.8,Y,US,paypal,N,registered,0
65.0,3,mobile,12.03,N,US,paypal,N,guest,0
396.57,4,mobile,6.48,Y,Others,card,Y,guest,0
349.88,5,mobile,7.68,N,CN,paypal,N,registered,0
353.64,9,mobile,11.32,Y,JP,paypal,Y,guest,0
258.5,6,desktop,4.23,N,Others,card,N,guest,0
488.17,3,mobile,7.19,Y,CN,card,N,guest,0
117.69,7,desktop,9.46,N,KR,bank_transfer,N,registered,0
163.53,3,desktop,11.25,N,KR,bank_transfer,N,guest,1
129.27,1,desktop,8.54,N,CN,card,N,guest,1
43.12,6,desktop,12.37,N,KR,bank_transfer,Y,guest,0
453.91,9,tablet,,N,Others,card,N,guest,0
58.45,1,desktop,2.27,N,US,bank_transfer,N,guest,1
311.46,9,desktop,9.89,N,CN,card,Y,registered,1
322.81,4,desktop,9.72,Y,KR,bank_transfer,N,registered,0
201.41,5,mobile,2.62,Y,US,bank_transfer,N,guest,1
26.36,5,tablet,5.87,N,JP,bank_transfer,N,guest,1
424.27,3,tablet,6.07,N,US,bank_transfer,N,registered,1
204.77,5,tablet,4.86,N,KR,paypal,Y,registered,0
284.8,3,desktop,,Y,US,bank_transfer,Y,registered,0
361.06,6,mobile,1.84,Y,Others,bank_transfer,Y,guest,0
344.13,2,mobile,10.41,N,Others,card,N,guest,0
353.39,9,tablet,12.3,N,JP,paypal,N,guest,0
184.38,5,mobile,7.59,Y,Others,paypal,N,registered,0
217.95,4,desktop,10.2,Y,CN,card,Y,registered,0
135.1,4,tablet,4.68,N,US,bank_transfer,N,registered,0
485.04,7,desktop,10.05,N,JP,bank_transfer,N,guest,0
158.51,9,desktop,5.08,N,Others,paypal,N,registered,0
90.71,1,desktop,12.66,Y,CN,bank_transfer,Y,guest,0
82.08,1,desktop,10.72,N,CN,card,Y,registered,1
473.15,4,tablet,7.59,N,Others,paypal,N,registered,0
188.69,6,mobile,3.78,N,US,card,Y,guest,0
372.11,6,mobile,10.98,N,JP,bank_transfer,Y,guest,0
458.67,5,mobile,6.49,N,US,card,N,guest,0
356.47,7,desktop,8.93,N,US,card,Y,registered,0
,4,mobile,7.32,N,Others,card,N,registered,0
472.28,8,mobile,9.15,N,Others,bank_transfer,Y,guest,1
373.52,3,desktop,6.67,N,JP,card,N,registered,0
134.46,7,desktop,1.91,Y,CN,paypal,N,guest,0
415.41,2,mobile,7.95,N,KR,card,Y,registered,0
385.09,4,tablet,11.83,N,CN,card,Y,guest,0
209.46,2,desktop,9.28,N,KR,bank_transfer,Y,registered,0
116.09,2,tablet,5.92,N,JP,bank_transfer,Y,registered,0
362.05,9,desktop,5.07,N,JP,card,N,registered,0
425.75,8,tablet,6.73,Y,JP,bank_transfer,N,registered,1
196.95,1,tablet,10.0,N,Others,bank_transfer,N,guest,0
229.75,2,tablet,,N,US,card,N,guest,0
191.17,3,desktop,12.89,N,Others,card,Y,guest,1
135.07,2,tablet,6.07,N,JP,card,N,guest,1
333.62,8,tablet,7.04,N,KR,paypal,N,guest,0
207.41,2,tablet,13.12,Y,CN,card,N,guest,0
335.74,8,tablet,6.87,Y,CN,card,N,registered,0
193.89,9,tablet,7.0,N,JP,paypal,N,guest,0
191.12,1,desktop,4.32,N,KR,bank_transfer,N,registered,1
113.72,6,desktop,4.52,N,CN,card,N,registered,0
493.91,3,tablet,13.72,N,CN,paypal,N,registered,1
31.19,4,desktop,9.64,Y,US,card,Y,registered,1
283.08,5,tablet,9.91,N,Others,bank_transfer,N,registered,1
289.24,1,tablet,7.9,Y,CN,card,Y,guest,0
55.88,6,mobile,-1.19,N,US,paypal,Y,registered,1
448.29,1,mobile,14.99,N,KR,bank_transfer,N,registered,0
73.1,5,desktop,2.89,N,KR,bank_transfer,Y,guest,1
320.37,2,tablet,7.52,N,Others,bank_transfer,N,registered,0
68.41,2,desktop,5.97,N,US,paypal,Y,registered,1
361.21,7,mobile,10.07,Y,KR,paypal,N,registered,1
,8,desktop,5.55,N,JP,bank_transfer,Y,guest,0
353.74,8,mobile,6.21,Y,JP,card,Y,registered,1
147.76,2,tablet,7.71,N,CN,bank_transfer,Y,guest,0
456.78,4,mobile,,Y,JP,paypal,N,registered,0
298.22,9,mobile,7.09,N,Others,paypal,N,registered,1
192.65,4,mobile,6.53,Y,KR,bank_transfer,N,registered,1
429.26,5,tablet,2.74,N,KR,paypal,N,guest,0
138.17,8,desktop,2.82,Y,US,card,N,registered,1
394.61,9,mobile,3.68,N,KR,paypal,N,registered,1
41.84,5,tablet,6.67,Y,Others,paypal,N,registered,1
444.82,3,mobile,9.86,Y,JP,paypal,N,guest,0
152.68,1,tablet,5.29,N,JP,card,N,guest,1
298.84,1,tablet,11.04,Y,JP,card,N,registered,0
457.12,3,desktop,11.64,Y,KR,bank_transfer,N,registered,0
496.44,7,desktop,7.38,Y,Others,card,N,guest,0
49.87,9,mobile,11.35,N,KR,card,N,guest,0
465.67,2,tablet,6.33,N,Others,paypal,Y,guest,1
268.24,2,tablet,1.14,N,JP,bank_transfer,N,registered,1
473.78,9,desktop,12.22,Y,Others,paypal,N,registered,0
282.53,4,mobile,5.53,N,US,paypal,Y,registered,1
146.8,6,desktop,12.56,N,US,paypal,N,registered,1
330.66,8,desktop,5.3,N,KR,card,Y,registered,0
242.23,1,mobile,1.25,Y,Others,bank_transfer,N,registered,1
322.88,5,mobile,8.61,N,CN,paypal,Y,registered,1
265.39,6,mobile,2.36,N,JP,paypal,Y,registered,1
126.74,1,mobile,,N,Others,paypal,Y,guest,0
372.56,6,mobile,4.08,N,KR,bank_transfer,Y,registered,0
403.84,6,tablet,7.2,Y,Others,bank_transfer,N,registered,0
440.78,1,desktop,12.31,Y,KR,paypal,Y,guest,0
165.26,5,tablet,5.9,N,JP,paypal,N,registered,0
312.45,3,mobile,10.49,Y,CN,paypal,N,registered,0
60.8,3,tablet,10.92,N,CN,paypal,N,registered,0
173.21,3,mobile,5.85,Y,JP,paypal,Y,registered,0
411.44,1,desktop,8.3,N,Others,paypal,N,registered,0
438.76,9,mobile,11.35,N,CN,bank_transfer,Y,guest,1
447.54,7,tablet,7.86,N,US,paypal,Y,guest,1
,6,desktop,11.13,N,CN,paypal,N,registered,1
459.66,7,tablet,12.04,Y,US,card,Y,registered,1
215.45,5,tablet,10.98,N,Others,bank_transfer,N,registered,0
98.05,8,desktop,10.63,Y,KR,bank_transfer,N,guest,1
108.36,5,mobile,11.52,Y,CN,card,N,guest,0
127.41,5,tablet,5.84,Y,CN,card,Y,guest,1
20.57,8,desktop,8.32,N,Others,bank_transfer,N,registered,1
128.86,3,desktop,5.23,N,KR,bank_transfer,Y,registered,1
466.87,8,mobile,7.05,Y,Others,paypal,N,guest,1
374.49,5,desktop,6.73,Y,Others,bank_transfer,N,registered,0
460.39,7,mobile,10.24,N,KR,card,Y,guest,0
309.68,2,desktop,7.02,Y,KR,card,N,guest,0
238.12,2,tablet,10.8,N,US,paypal,N,guest,1
170.47,6,mobile,-0.16,N,KR,paypal,Y,guest,0
202.87,8,desktop,13.02,N,US,card,Y,guest,0
328.55,3,tablet,6.19,N,US,paypal,N,guest,0
,6,tablet,1.87,N,US,bank_transfer,N,guest,1
82.65,5,desktop,9.84,N,JP,paypal,N,guest,1
370.67,5,mobile,10.43,Y,US,bank_transfer,N,guest,0
22.61,9,tablet,9.78,N,Others,card,N,registered,0
332.32,2,mobile,13.89,N,CN,bank_transfer,N,guest,1
237.46,2,desktop,7.53,Y,Others,card,N,registered,0
116.31,6,desktop,7.72,Y,CN,card,Y,guest,0
322.94,2,tablet,8.33,Y,CN,card,N,registered,0
28.54,1,tablet,4.78,N,CN,card,Y,registered,1
422.5,5,desktop,5.05,N,Others,paypal,N,registered,1
272.26,3,mobile,11.71,Y,JP,bank_transfer,N,registered,1
198.05,6,desktop,9.1,N,CN,bank_transfer,Y,guest,0
224.36,8,tablet,6.2,N,KR,bank_transfer,N,registered,1
147.25,1,desktop,8.43,Y,Others,bank_transfer,N,registered,1
234.28,3,tablet,11.08,N,US,bank_transfer,N,registered,0
491.67,2,tablet,6.33,N,CN,paypal,N,registered,1
380.99,9,tablet,7.72,Y,CN,bank_transfer,N,guest,0
270.04,9,desktop,10.66,Y,CN,card,Y,guest,1
241.94,8,tablet,11.17,Y,Others,paypal,N,guest,0
52.38,6,mobile,0.65,Y,CN,bank_transfer,N,guest,1
318.96,1,desktop,4.69,N,CN,paypal,Y,registered,0
365.42,8,mobile,11.43,Y,JP,paypal,N,guest,0
236.35,5,desktop,4.93,Y,KR,card,N,registered,0
348.69,7,tablet,7.99,N,US,paypal,Y,guest,0
371.63,7,tablet,13.05,N,CN,card,N,registered,1
91.91,9,tablet,9.66,Y,US,paypal,N,guest,0
312.32,9,mobile,8.77,N,Others,bank_transfer,Y,guest,0
434.07,3,desktop,8.75,N,JP,paypal,Y,registered,1
25.58,4,tablet,8.0,Y,US,card,N,guest,0
403.96,4,desktop,8.85,Y,Others,card,N,registered,0
477.68,8,mobile,11.58,Y,KR,paypal,N,registered,0
70.49,2,tablet,3.96,N,Others,paypal,N,guest,0
234.87,6,tablet,7.62,N,CN,card,Y,registered,0
230.13,9,mobile,8.65,N,Others,bank_transfer,Y,guest,1
317.93,1,desktop,9.49,N,Others,card,N,guest,0
197.2,8,tablet,8.54,N,KR,card,N,guest,0
209.76,8,tablet,6.6,N,Others,paypal,N,registered,0
168.11,8,tablet,12.65,N,US,card,N,guest,0
304.2,6,desktop,10.61,Y,US,paypal,Y,registered,1
,5,desktop,8.68,N,KR,card,Y,registered,0
484.37,7,desktop,9.25,N,US,card,N,guest,0
442.16,4,tablet,13.83,Y,JP,paypal,N,guest,0
77.37,2,tablet,8.64,Y,Others,card,Y,registered,0
351.24,8,tablet,9.36,N,JP,paypal,Y,registered,0
453.92,4,desktop,5.18,N,Others,bank_transfer,Y,guest,0
309.98,5,desktop,10.28,N,US,card,N,guest,0
255.88,1,desktop,8.05,Y,CN,bank_transfer,N,registered,0
400.71,2,desktop,4.42,N,KR,paypal,Y,guest,1
104.97,3,desktop,15.06,N,US,paypal,N,registered,1
,2,tablet,7.51,N,CN,bank_transfer,Y,guest,1
142.66,8,tablet,10.49,N,Others,bank_transfer,N,registered,0
131.69,6,desktop,5.37,N,Others,paypal,N,registered,1
385.34,4,tablet,13.22,Y,Others,card,N,guest,0
472.86,2,mobile,10.06,Y,JP,card,N,guest,0
249.35,3,desktop,4.32,Y,Others,paypal,Y,registered,0
34.8,6,tablet,5.92,N,CN,paypal,N,registered,0
304.22,6,tablet,3.33,N,US,bank_transfer,Y,guest,1
181.65,9,mobile,,N,CN,card,N,registered,0
261.99,5,tablet,14.69,Y,Others,card,N,guest,0
31.4,5,tablet,0.69,N,US,card,N,registered,0
169.59,7,mobile,1.4,N,Others,card,Y,guest,0
431.63,5,mobile,5.25,N,CN,paypal,N,guest,0
214.86,4,mobile,6.87,Y,JP,paypal,N,guest,1
296.43,2,desktop,8.12,Y,CN,paypal,N,registered,0
351.76,8,mobile,4.13,N,Others,paypal,Y,guest,0
434.65,8,tablet,10.0,N,JP,paypal,Y,guest,0
420.09,2,desktop,7.82,N,Others,paypal,N,registered,0
388.65,7,tablet,3.65,N,Others,paypal,N,registered,1
157.6,5,desktop,9.33,N,KR,bank_transfer,Y,registered,0
,8,tablet,8.58,N,KR,paypal,N,registered,0
416.43,9,mobile,7.73,Y,CN,card,N,guest,0
293.96,7,desktop,3.22,Y,US,bank_transfer,N,registered,0
139.1,9,mobile,8.22,N,KR,card,N,registered,0
26.02,3,tablet,5.04,N,KR,paypal,N,registered,1
179.79,4,mobile,,N,JP,bank_transfer,Y,guest,0
208.59,3,mobile,7.61,N,KR,card,Y,registered,0
404.62,3,desktop,6.86,Y,JP,card,N,registered,0
449.87,1,mobile,10.84,N,Others,paypal,Y,registered,1
382.51,6,tablet,7.5,N,JP,bank_transfer,N,guest,1
341.14,2,mobile,17.04,Y,US,paypal,Y,registered,0
416.13,5,tablet,15.99,N,JP,bank_transfer,N,registered,0
50.07,8,tablet,5.28,N,JP,paypal,N,guest,1
,5,desktop,4.62,Y,Others,card,Y,registered,0
52.23,8,mobile,10.0,N,JP,paypal,N,registered,0
83.48,5,mobile,6.82,N,KR,bank_transfer,N,guest,0
369.01,4,desktop,9.84,Y,CN,card,Y,guest,1
140.53,3,mobile,3.54,N,CN,bank_transfer,N,registered,0
282.81,1,mobile,10.08,N,KR,paypal,Y,guest,1
26.45,2,mobile,9.76,N,Others,bank_transfer,Y,guest,0
54.53,5,tablet,7.48,Y,JP,bank_transfer,Y,registered,0
85.94,1,desktop,9.7,N,US,card,N,guest,0
,1,mobile,4.89,N,JP,card,Y,guest,0
296.79,7,mobile,7.0,N,CN,bank_transfer,N,registered,1
119.7,3,tablet,5.71,N,JP,paypal,Y,guest,0
,3,tablet,10.51,N,US,card,N,registered,0
143.72,1,mobile,4.45,Y,Others,bank_transfer,N,guest,0
353.28,4,tablet,3.7,N,JP,paypal,Y,registered,0
384.72,5,mobile,6.21,N,JP,card,N,registered,0
498.87,9,tablet,13.2,Y,KR,bank_transfer,N,guest,0
398.01,7,desktop,6.26,Y,CN,card,N,guest,1
193.75,3,mobile,7.03,N,US,card,N,guest,0
180.29,6,desktop,5.12,N,CN,paypal,Y,guest,1
376.75,1,desktop,10.62,Y,KR,card,Y,guest,0
174.67,2,tablet,6.27,Y,CN,paypal,Y,guest,0
202.39,3,mobile,5.17,Y,Others,paypal,N,registered,0
352.81,4,tablet,9.33,Y,KR,paypal,N,guest,0
210.5,4,desktop,6.9,Y,KR,bank_transfer,N,registered,0
77.29,3,mobile,5.33,N,Others,paypal,N,guest,0
294.09,5,desktop,8.69,N,JP,bank_transfer,N,registered,0
107.71,5,mobile,,Y,Others,card,Y,registered,1
244.95,2,desktop,10.43,Y,Others,paypal,N,guest,1
470.3,9,desktop,8.29,N,KR,card,N,registered,1
233.12,2,desktop,10.67,N,KR,paypal,N,guest,1
323.54,4,desktop,6.06,Y,CN,bank_transfer,N,guest,0
157.19,1,tablet,9.2,Y,CN,paypal,N,guest,1
312.15,8,desktop,4.25,N,US,paypal,N,registered,1
348.96,4,desktop,3.0,N,KR,bank_transfer,Y,guest,0
413.83,2,tablet,6.64,Y,KR,paypal,N,guest,0
170.05,7,tablet,9.42,Y,KR,paypal,N,guest,0
154.82,5,desktop,8.21,N,JP,bank_transfer,N,guest,1
162.74,7,tablet,6.18,N,JP,card,N,registered,1
234.87,7,desktop,2.38,N,KR,bank_transfer,N,guest,0
302.93,4,desktop,5.95,N,KR,bank_transfer,Y,guest,0
444.76,5,mobile,11.59,N,KR,card,Y,registered,1
499.23,6,mobile,10.5,N,Others,card,N,registered,0
199.48,7,desktop,,Y,KR,paypal,Y,guest,0
68.3,9,desktop,8.58,Y,KR,paypal,N,registered,0
414.39,7,tablet,6.07,N,Others,bank_transfer,N,registered,0
270.59,8,mobile,9.6,N,CN,paypal,Y,registered,1
371.5,3,mobile,9.11,N,Others,bank_transfer,N,guest,0
325.12,1,mobile,3.5,Y,CN,bank_transfer,N,guest,0
332.07,3,tablet,5.61,N,JP,bank_transfer,N,registered,0
449.09,8,mobile,13.37,Y,KR,bank_transfer,Y,guest,0
275.5,1,desktop,8.81,N,Others,card,N,registered,0
113.72,6,mobile,11.21,Y,KR,card,N,guest,1
79.03,2,mobile,,N,JP,paypal,N,guest,0
487.82,2,mobile,5.04,N,KR,bank_transfer,Y,registered,0
130.34,2,mobile,9.92,N,JP,bank_transfer,N,guest,0
128.66,2,tablet,9.83,N,US,card,N,guest,1
338.14,9,tablet,11.12,Y,Others,card,N,registered,0
249.34,6,tablet,10.58,Y,JP,card,Y,registered,0
362.44,8,desktop,4.97,N,JP,bank_transfer,N,registered,0
359.68,9,desktop,9.75,N,US,paypal,Y,registered,0
259.94,2,desktop,12.57,Y,Others,bank_transfer,Y,guest,0
80.81,2,tablet,3.46,Y,Others,paypal,N,guest,0
445.58,2,desktop,8.34,N,JP,paypal,N,registered,1
,8,desktop,8.12,N,US,bank_transfer,N,guest,1
226.69,1,mobile,4.88,Y,US,card,N,guest,0
457.89,2,desktop,6.57,N,CN,paypal,N,registered,1
470.72,6,desktop,9.38,Y,US,card,Y,registered,1
297.71,8,mobile,13.74,Y,Others,bank_transfer,N,guest,1
434.61,2,desktop,7.65,N,CN,paypal,N,registered,0
348.1,5,mobile,8.27,N,US,paypal,Y,guest,1
250.19,9,desktop,6.49,N,CN,paypal,N,registered,1
232.75,4,tablet,1.72,Y,US,card,Y,guest,1
77.57,2,mobile,7.46,N,KR,bank_transfer,Y,registered,0
232.04,8,desktop,5.4,N,CN,paypal,N,guest,0
228.37,9,tablet,11.02,N,US,paypal,N,registered,0
246.6,8,desktop,3.02,Y,US,bank_transfer,Y,registered,0
165.86,1,tablet,4.73,N,JP,bank_transfer,N,registered,0
446.92,3,mobile,9.7,Y,KR,paypal,N,registered,0
24.61,7,mobile,7.38,N,US,card,N,guest,0
65.64,8,tablet,8.78,N,US,bank_transfer,Y,registered,0
341.49,3,tablet,9.88,N,Others,card,N,guest,1
215.9,1,tablet,5.88,Y,CN,card,N,guest,0
425.79,2,tablet,9.09,Y,JP,bank_transfer,N,registered,0
169.64,2,tablet,7.36,N,CN,paypal,N,guest,1
430.92,9,mobile,6.08,Y,Others,bank_transfer,N,guest,0
36.19,4,desktop,7.39,Y,Others,paypal,N,registered,0
496.27,2,desktop,11.69,N,KR,paypal,N,guest,0
483.71,9,tablet,3.93,N,US,paypal,Y,guest,1
486.18,4,mobile,18.07,N,US,bank_transfer,Y,registered,1
41.14,9,mobile,12.32,N,US,paypal,N,guest,0
461.73,2,mobile,6.23,Y,KR,card,N,guest,1
335.03,1,tablet,7.52,Y,US,paypal,N,guest,0
253.27,3,desktop,6.96,Y,Others,bank_transfer,N,registered,1
177.14,1,desktop,8.61,N,US,card,N,guest,0
459.34,5,mobile,8.4,N,US,card,N,guest,0
61.98,4,tablet,11.99,Y,JP,bank_transfer,N,guest,0
430.22,3,mobile,12.59,N,CN,paypal,Y,guest,0
149.34,6,tablet,11.32,Y,US,bank_transfer,N,guest,1
269.27,9,mobile,7.48,N,KR,bank_transfer,N,guest,1
276.95,3,desktop,8.51,N,CN,bank_transfer,N,registered,0
437.79,9,mobile,5.95,N,KR,card,N,guest,0
34.65,1,desktop,6.15,Y,Others,paypal,Y,registered,0
449.81,4,mobile,12.45,N,CN,card,Y,guest,1
67.91,5,tablet,9.78,Y,JP,bank_transfer,N,guest,1
435.11,2,mobile,5.21,N,KR,paypal,Y,registered,0
457.83,7,tablet,11.29,Y,US,card,N,guest,0
389.86,1,desktop,8.54,N,JP,bank_transfer,N,registered,0
36.89,4,mobile,12.12,Y,CN,card,N,registered,0
190.94,7,desktop,6.39,N,CN,paypal,N,guest,0
320.27,2,desktop,6.53,Y,JP,bank_transfer,N,registered,0
85.38,8,desktop,9.21,Y,JP,card,N,guest,0
415.55,1,desktop,9.33,Y,KR,paypal,Y,registered,0
20.5,1,tablet,7.28,Y,US,card,N,registered,0
353.79,3,tablet,2.72,N,CN,paypal,Y,registered,1
291.17,4,tablet,10.62,Y,US,card,Y,registered,0
122.31,1,mobile,6.57,N,Others,bank_transfer,N,registered,1
316.39,8,tablet,16.01,N,KR,bank_transfer,Y,guest,0
432.24,5,desktop,4.39,N,KR,bank_transfer,N,registered,0
361.76,1,desktop,9.48,N,JP,paypal,Y,guest,0
329.43,4,tablet,7.53,N,Others,bank_transfer,N,guest,0
,5,tablet,10.01,N,US,paypal,N,guest,1
243.11,3,tablet,6.57,N,Others,card,N,guest,0
210.58,7,desktop,11.0,N,JP,bank_transfer,Y,registered,0
69.11,9,mobile,8.87,Y,CN,card,N,guest,0
32.98,3,tablet,4.18,N,CN,bank_transfer,N,registered,1
233.53,1,desktop,5.46,N,KR,paypal,Y,guest,0
319.51,6,tablet,5.76,Y,US,bank_transfer,N,guest,1
175.6,4,desktop,9.35,Y,US,paypal,N,guest,1
284.91,6,tablet,,N,JP,bank_transfer,N,registered,0
352.02,9,mobile,9.91,N,KR,paypal,N,registered,1
39.2,1,desktop,5.67,Y,JP,bank_transfer,N,guest,0
328.66,8,mobile,6.89,Y,CN,bank_transfer,N,guest,0
424.41,7,tablet,,Y,CN,paypal,N,registered,0
388.98,2,mobile,7.1,N,Others,bank_transfer,Y,guest,0
51.93,6,mobile,8.71,N,KR,bank_transfer,N,registered,1
197.26,4,desktop,11.81,Y,Others,paypal,N,registered,0
259.41,9,tablet,9.1,N,KR,card,N,registered,1
212.95,7,tablet,12.66,Y,CN,paypal,Y,registered,0
108.34,1,tablet,8.79,N,KR,card,Y,registered,0
450.29,3,mobile,3.93,N,JP,paypal,N,guest,1
469.8,1,mobile,10.16,N,JP,card,Y,registered,0
65.55,5,tablet,6.54,N,Others,bank_transfer,N,registered,1
130.91,2,desktop,3.2,Y,Others,bank_transfer,N,guest,0
20.21,8,tablet,10.97,Y,CN,card,N,guest,0
266.33,8,tablet,7.92,N,Others,paypal,Y,registered,0
406.02,1,tablet,2.56,N,JP,paypal,N,registered,0
207.43,1,mobile,4.25,N,KR,card,N,guest,0
161.25,9,desktop,9.27,Y,KR,paypal,N,guest,0
225.63,6,mobile,,Y,JP,bank_transfer,N,registered,0
233.44,9,tablet,10.12,N,JP,card,N,registered,0
477.41,2,mobile,10.35,N,CN,card,Y,registered,1
27.81,8,desktop,7.47,Y,CN,bank_transfer,N,guest,0
143.39,4,tablet,9.44,N,CN,card,N,guest,0
22.4,5,desktop,8.14,Y,CN,bank_transfer,N,guest,0
275.48,6,mobile,8.67,Y,CN,bank_transfer,N,registered,0
393.82,6,mobile,15.52,N,CN,bank_transfer,N,registered,1
422.58,9,tablet,6.53,N,JP,paypal,Y,registered,0
459.47,3,mobile,9.65,N,US,bank_transfer,Y,guest,0
194.09,8,tablet,10.97,Y,US,card,Y,registered,1
273.84,8,mobile,12.57,N,CN,bank_transfer,N,registered,0
415.62,8,mobile,8.82,N,JP,card,Y,guest,0
381.27,3,desktop,10.67,Y,JP,card,N,registered,0
180.97,5,mobile,10.12,N,JP,card,Y,guest,1
354.45,2,mobile,7.47,Y,CN,paypal,N,registered,0
444.0,5,desktop,,N,Others,card,N,guest,0
48.91,8,mobile,8.42,N,Others,paypal,Y,guest,1
334.76,5,mobile,7.52,N,KR,paypal,Y,registered,0
184.97,3,mobile,8.27,N,Others,bank_transfer,N,guest,0
171.38,8,desktop,1.12,N,KR,paypal,N,registered,1
452.09,3,mobile,12.7,N,CN,paypal,N,guest,0
183.41,1,mobile,7.74,N,US,card,N,registered,1
,2,tablet,7.01,Y,CN,bank_transfer,Y,registered,0
348.26,1,mobile,9.62,N,KR,card,N,registered,0
297.94,5,tablet,6.34,N,KR,paypal,N,registered,0
495.35,7,mobile,10.26,N,CN,card,N,guest,0
